v_cost,loss,tpr,fpr,p_fake,log10_lambda,loss_aversion
4.367191796191036701e-01,2.628735944628715515e+00,9.145009790081530809e-01,3.084810698404908541e-02,3.181453084573149237e-01,1.359511990100145340e+00,2.395551698282361031e+00
6.079228174872696178e-01,2.628735944628715515e+00,9.145009790081530809e-01,3.084810698404908541e-02,3.181453084573149237e-01,1.359511990100145340e+00,2.395551698282361031e+00
4.367191796191036701e-01,2.612457919865846634e+00,9.145009790081530809e-01,3.084810698404908541e-02,3.181453084573149237e-01,1.359511990100145340e+00,2.395551698282361031e+00
4.367191796191036701e-01,2.628735944628715515e+00,6.447168081253766836e-01,3.084810698404908541e-02,3.181453084573149237e-01,1.359511990100145340e+00,2.395551698282361031e+00
4.367191796191036701e-01,2.628735944628715515e+00,9.145009790081530809e-01,2.160341917537152989e-01,3.181453084573149237e-01,1.359511990100145340e+00,2.395551698282361031e+00
4.367191796191036701e-01,2.628735944628715515e+00,9.145009790081530809e-01,3.084810698404908541e-02,6.557566092349588205e-01,1.359511990100145340e+00,2.395551698282361031e+00
4.367191796191036701e-01,2.628735944628715515e+00,9.145009790081530809e-01,3.084810698404908541e-02,3.181453084573149237e-01,-4.757593460381031036e-01,2.395551698282361031e+00
4.367191796191036701e-01,2.628735944628715515e+00,9.145009790081530809e-01,3.084810698404908541e-02,3.181453084573149237e-01,1.359511990100145340e+00,2.188070403411984444e+00
4.367191796191036701e-01,2.612457919865846634e+00,6.447168081253766836e-01,2.160341917537152989e-01,6.557566092349588205e-01,-4.757593460381031036e-01,2.188070403411984444e+00
6.079228174872696178e-01,2.628735944628715515e+00,6.447168081253766836e-01,2.160341917537152989e-01,6.557566092349588205e-01,-4.757593460381031036e-01,2.188070403411984444e+00
6.079228174872696178e-01,2.612457919865846634e+00,9.145009790081530809e-01,2.160341917537152989e-01,6.557566092349588205e-01,-4.757593460381031036e-01,2.188070403411984444e+00
6.079228174872696178e-01,2.612457919865846634e+00,6.447168081253766836e-01,3.084810698404908541e-02,6.557566092349588205e-01,-4.757593460381031036e-01,2.188070403411984444e+00
6.079228174872696178e-01,2.612457919865846634e+00,6.447168081253766836e-01,2.160341917537152989e-01,3.181453084573149237e-01,-4.757593460381031036e-01,2.188070403411984444e+00
6.079228174872696178e-01,2.612457919865846634e+00,6.447168081253766836e-01,2.160341917537152989e-01,6.557566092349588205e-01,1.359511990100145340e+00,2.188070403411984444e+00
6.079228174872696178e-01,2.612457919865846634e+00,6.447168081253766836e-01,2.160341917537152989e-01,6.557566092349588205e-01,-4.757593460381031036e-01,2.395551698282361031e+00
6.079228174872696178e-01,2.612457919865846634e+00,6.447168081253766836e-01,2.160341917537152989e-01,6.557566092349588205e-01,-4.757593460381031036e-01,2.188070403411984444e+00
6.947294850461185334e-01,1.985910098999738693e+00,6.706779101584106062e-01,3.482059816922992712e-01,8.603124550543724824e-01,-4.795016944408416748e-01,1.419015752151608467e+00
4.234962728992104353e-01,1.985910098999738693e+00,6.706779101584106062e-01,3.482059816922992712e-01,8.603124550543724824e-01,-4.795016944408416748e-01,1.419015752151608467e+00
6.947294850461185334e-01,1.617035329341888428e+00,6.706779101584106062e-01,3.482059816922992712e-01,8.603124550543724824e-01,-4.795016944408416748e-01,1.419015752151608467e+00
6.947294850461185334e-01,1.985910098999738693e+00,9.208471839688718852e-01,3.482059816922992712e-01,8.603124550543724824e-01,-4.795016944408416748e-01,1.419015752151608467e+00
6.947294850461185334e-01,1.985910098999738693e+00,6.706779101584106062e-01,1.579263811372220716e-01,8.603124550543724824e-01,-4.795016944408416748e-01,1.419015752151608467e+00
6.947294850461185334e-01,1.985910098999738693e+00,6.706779101584106062e-01,3.482059816922992712e-01,3.614530724473297152e-01,-4.795016944408416748e-01,1.419015752151608467e+00
6.947294850461185334e-01,1.985910098999738693e+00,6.706779101584106062e-01,3.482059816922992712e-01,8.603124550543724824e-01,9.672815464437007904e-01,1.419015752151608467e+00
6.947294850461185334e-01,1.985910098999738693e+00,6.706779101584106062e-01,3.482059816922992712e-01,8.603124550543724824e-01,-4.795016944408416748e-01,1.368535598739981651e+00
6.947294850461185334e-01,1.617035329341888428e+00,9.208471839688718852e-01,1.579263811372220716e-01,3.614530724473297152e-01,9.672815464437007904e-01,1.368535598739981651e+00
4.234962728992104353e-01,1.985910098999738693e+00,9.208471839688718852e-01,1.579263811372220716e-01,3.614530724473297152e-01,9.672815464437007904e-01,1.368535598739981651e+00
4.234962728992104353e-01,1.617035329341888428e+00,6.706779101584106062e-01,1.579263811372220716e-01,3.614530724473297152e-01,9.672815464437007904e-01,1.368535598739981651e+00
4.234962728992104353e-01,1.617035329341888428e+00,9.208471839688718852e-01,3.482059816922992712e-01,3.614530724473297152e-01,9.672815464437007904e-01,1.368535598739981651e+00
