output,component,factor,S1,S1_conf,ST,ST_conf,stoch_frac
veracity_differential,deterministic,v_cost,-0.0002568195124125842,0.009108641917818242,0.012432200893873596,0.0026175239111703437,0.145282207939298
veracity_differential,deterministic,loss,0.014868342893312342,0.025220269255208882,0.08916727214404102,0.023243693719810513,0.145282207939298
veracity_differential,deterministic,tpr,0.1546111395247846,0.037459022584733395,0.21557148120592134,0.033828006776543185,0.145282207939298
veracity_differential,deterministic,fpr,0.14655484702595784,0.03965328058621156,0.20303503104765966,0.026994039461974907,0.145282207939298
veracity_differential,deterministic,p_fake,0.1945121449371724,0.055953849890439285,0.3970312309741631,0.05502133397451626,0.145282207939298
veracity_differential,deterministic,log10_lambda,0.27816442334011393,0.06317297815084559,0.5163318271890823,0.05436956721414104,0.145282207939298
veracity_differential,deterministic,loss_aversion,0.01276371595853284,0.02638671311772325,0.0947565669140789,0.028199846304543016,0.145282207939298
veracity_differential,stochastic,v_cost,-0.00057600749273803,0.025622411348574382,0.11303059910570436,0.04620887809685986,0.145282207939298
veracity_differential,stochastic,loss,-0.007598911764102627,0.027210935169635967,0.3506481163674795,0.13868407139155647,0.145282207939298
veracity_differential,stochastic,tpr,0.050849174660136165,0.04925320196206068,0.3442732474779493,0.08720916117302445,0.145282207939298
veracity_differential,stochastic,fpr,0.07695122897048871,0.0460334738515448,0.443004646877149,0.12472156695858784,0.145282207939298
veracity_differential,stochastic,p_fake,0.14221892154468854,0.13780240870161845,0.7697706356547246,0.2307401897925012,0.145282207939298
veracity_differential,stochastic,log10_lambda,0.07568909926831287,0.06708960366481716,0.7701888248925489,0.24897239014643846,0.145282207939298
veracity_differential,stochastic,loss_aversion,0.006886170123009984,0.0707897267692053,0.3652413087886996,0.10670484201877474,0.145282207939298
avg_verify_rate,deterministic,v_cost,0.0024752807484689433,0.01295694714503878,0.0231276192505777,0.005177656850657977,0.10043061021462572
avg_verify_rate,deterministic,loss,0.027385987355089417,0.02673652145473944,0.09517233348341256,0.024868092409321134,0.10043061021462572
avg_verify_rate,deterministic,tpr,0.07805172596683879,0.029226131388449674,0.13241827196085756,0.027177882826312463,0.10043061021462572
avg_verify_rate,deterministic,fpr,0.017078183769788053,0.01901504220708045,0.044536553438523294,0.009569427351725958,0.10043061021462572
avg_verify_rate,deterministic,p_fake,0.1675684682298253,0.05549645270698336,0.3678515972468028,0.04911307158008857,0.10043061021462572
avg_verify_rate,deterministic,log10_lambda,0.4667000218464308,0.0677162517129109,0.7451440699149903,0.06292600996203068,0.10043061021462572
avg_verify_rate,deterministic,loss_aversion,0.02947383847445164,0.025318804842853277,0.09239138536629325,0.02526974396084695,0.10043061021462572
avg_verify_rate,stochastic,v_cost,0.009054494252728926,0.025031351440962957,0.12776427249918335,0.054038845242652574,0.10043061021462572
avg_verify_rate,stochastic,loss,0.010487752582461577,0.024741660194038877,0.4144198987784368,0.15614832010916302,0.10043061021462572
avg_verify_rate,stochastic,tpr,0.03560252917217321,0.03891235267867046,0.32865541439109486,0.1073389240439821,0.10043061021462572
avg_verify_rate,stochastic,fpr,0.016173386440580154,0.02417819581746261,0.2512862231172767,0.08556443692411825,0.10043061021462572
avg_verify_rate,stochastic,p_fake,0.2265107699165394,0.16888917216055727,0.8272164639131758,0.21250018005363724,0.10043061021462572
avg_verify_rate,stochastic,log10_lambda,0.06942584736081679,0.07891100700796112,0.8911036825392092,0.24900609160306855,0.10043061021462572
avg_verify_rate,stochastic,loss_aversion,0.0413180224841788,0.08183407089972654,0.43334607605690306,0.1512570086875187,0.10043061021462572
avg_payoff,deterministic,v_cost,0.0015799416689702965,0.0052867133778397545,0.0034127848605161036,0.0007393860912552613,0.026258845005726214
avg_payoff,deterministic,loss,0.015380910260763716,0.017398241423340496,0.0456909640048203,0.009170988806360567,0.026258845005726214
avg_payoff,deterministic,tpr,0.02138294965258102,0.015072851106007737,0.02799866121750617,0.004601497230963251,0.026258845005726214
avg_payoff,deterministic,fpr,0.022623439140853945,0.02079922040729958,0.05155538441629623,0.008096322477453262,0.026258845005726214
avg_payoff,deterministic,p_fake,0.8083977275910996,0.08500223494390473,0.889475379149503,0.07393871438517367,0.026258845005726214
